iter	Passed	Remaining
160	373	1946
161	374	1938
162	375	1930
163	377	1921
164	378	1913
165	379	1905
166	380	1897
167	381	1888
168	382	1880
169	383	1872
170	384	1864
171	385	1856
172	387	1854
173	390	1852
174	391	1844
175	392	1837
176	393	1829
177	394	1821
178	395	1814
179	396	1806
180	397	1799
181	398	1792
182	400	1785
183	401	1779
184	403	1778
185	405	1772
186	406	1766
187	407	1759
188	408	1753
189	409	1746
190	410	1739
191	411	1733
192	413	1727
193	414	1720
194	415	1714
195	416	1707
196	418	1705
197	420	1703
198	421	1696
199	422	1690
200	423	1684
201	424	1677
202	425	1671
203	426	1665
204	427	1659
205	428	1653
206	429	1647
207	430	1640
208	431	1634
209	434	1633
210	436	1630
211	437	1625
212	438	1619
213	439	1614
214	440	1609
215	441	1603
216	442	1598
217	443	1592
218	444	1586
219	445	1581
220	446	1575
221	448	1570
222	450	1569
223	451	1563
224	452	1558
225	453	1552
226	454	1547
227	455	1542
228	456	1537
229	457	1532
230	458	1527
231	459	1522
232	460	1517
233	462	1512
234	463	1507
235	465	1507
236	466	1502
237	467	1497
238	468	1492
239	469	1488
240	471	1483
241	472	1478
242	473	1474
243	474	1469
244	475	1465
245	476	1460
246	477	1456
247	479	1452
248	480	1450
249	481	1445
250	482	1441
251	484	1436
252	485	1432
253	486	1427
254	487	1423
255	488	1419
256	489	1415
257	490	1411
258	491	1407
259	493	1403
260	494	1399
261	496	1398
262	497	1394
263	498	1390
264	499	1386
265	500	1382
266	502	1378
267	503	1374
268	504	1369
269	505	1365
270	506	1361
271	507	1357
272	508	1353
273	510	1352
274	512	1350
275	513	1348
276	515	1344
277	516	1341
278	517	1338
279	518	1334
280	520	1330
281	521	1326
282	522	1322
283	523	1319
284	524	1315
285	525	1312
286	527	1310
287	528	1307
288	529	1303
289	531	1300
290	532	1296
291	533	1293
292	534	1289
293	535	1285
294	536	1282
295	537	1278
296	538	1275
297	539	1271
298	541	1269
299	543	1267
300	544	1263
301	545	1260
302	546	1256
303	547	1253
304	548	1250
305	549	1246
306	550	1243
307	551	1240
308	553	1236
309	554	1233
310	555	1230
311	556	1228
312	558	1225
313	559	1222
314	560	1218
315	561	1215
316	562	1212
317	563	1209
318	565	1206
319	566	1203
320	567	1199
321	568	1196
322	569	1193
323	570	1190
324	572	1188
325	573	1186
326	574	1182
327	575	1180
328	577	1176
329	578	1173
330	579	1170
331	580	1167
332	581	1164
333	582	1161
334	583	1158
335	584	1155
336	585	1152
337	587	1150
338	588	1147
339	589	1144
340	590	1141
341	592	1139
342	593	1136
343	593	1132
344	595	1129
345	596	1126
346	597	1123
347	598	1121
348	599	1118
349	600	1115
350	601	1112
351	604	1112
352	605	1109
353	606	1106
354	607	1103
355	608	1100
356	609	1098
357	610	1095
358	612	1092
359	613	1090
360	614	1087
361	615	1085
362	617	1083
363	619	1082
364	631	1099
365	633	1097
366	635	1096
367	636	1093
368	638	1091
369	639	1088
370	640	1085
371	641	1082
372	642	1080
373	643	1077
374	644	1074
375	646	1072
376	647	1070
377	648	1067
378	650	1065
379	651	1063
380	653	1060
381	654	1058
382	655	1055
383	656	1053
384	657	1050
385	658	1047
386	660	1045
387	661	1043
388	662	1040
389	663	1037
390	665	1036
391	666	1033
392	667	1030
393	668	1028
394	670	1026
395	671	1024
396	672	1021
397	673	1019
398	674	1016
399	676	1014
400	677	1011
401	678	1009
402	680	1008
403	681	1005
404	683	1003
405	684	1001
406	685	998
407	686	996
408	687	993
409	688	991
410	689	988
411	690	985
412	692	983
413	693	981
414	694	978
415	696	978
416	698	976
417	699	973
418	700	971
419	707	976
420	708	974
421	709	972
422	711	970
423	712	968
424	714	966
425	715	963
426	717	962
427	718	959
428	719	957
429	720	955
430	721	952
431	722	950
432	723	947
433	724	945
434	725	942
435	728	941
436	729	939
437	730	937
438	731	934
439	733	933
440	734	931
441	735	929
442	737	927
443	738	925
444	740	923
445	743	923
446	746	923
447	748	921
448	749	919
449	750	917
450	752	915
451	753	913
452	754	911
453	756	909
454	757	907
455	758	905
456	759	902
457	761	900
458	762	898
459	763	896
460	764	893
461	765	891
462	766	889
463	767	886
464	768	884
465	769	882
466	770	879
467	771	877
468	772	874
469	773	872
470	774	870
471	775	867
472	776	865
473	778	863
474	779	861
475	780	859
476	781	856
477	782	854
478	783	852
479	784	850
480	785	847
481	786	845
482	788	843
483	789	841
484	790	839
485	791	837
486	792	834
487	793	832
488	794	830
489	795	828
490	796	825
491	797	823
492	798	821
493	799	819
494	800	817
495	801	814
496	803	812
497	804	810
498	805	808
499	806	806
500	807	804
501	808	801
502	809	799
503	810	797
504	811	795
505	812	793
506	813	791
507	814	788
508	815	786
509	816	784
510	817	782
511	818	780
512	820	778
513	821	776
514	822	774
515	823	772
516	824	770
517	825	767
518	826	765
519	827	763
520	828	761
521	829	759
522	830	757
523	831	755
524	832	753
525	833	751
526	834	749
527	835	746
528	836	744
529	837	742
530	838	740
531	839	738
532	840	736
533	841	734
534	842	732
535	844	730
536	845	728
537	846	726
538	847	724
539	848	722
540	849	720
541	850	718
542	851	716
543	852	714
544	853	712
545	854	710
546	855	708
547	856	706
548	857	704
549	858	702
550	859	700
551	860	698
552	862	696
553	863	694
554	864	692
555	865	690
556	866	688
557	867	687
558	868	685
559	869	683
560	870	681
561	871	679
562	872	677
563	873	675
564	874	673
565	876	671
566	877	669
567	878	668
568	879	666
569	880	664
570	881	662
571	883	660
572	884	658
573	885	656
574	886	655
575	887	653
576	888	651
577	889	649
578	890	647
579	891	645
580	892	643
581	893	642
582	895	640
583	895	638
584	896	636
585	898	634
586	899	632
587	900	630
588	901	629
589	902	627
590	903	625
591	904	623
592	905	621
593	906	619
594	907	618
595	909	616
596	910	614
597	911	612
598	912	610
599	913	608
600	914	607
601	915	605
602	916	603
603	917	601
604	918	599
605	920	598
606	921	596
607	922	594
608	923	592
609	924	590
610	925	589
611	926	587
612	927	585
613	928	583
614	929	581
615	930	580
616	931	578
617	932	576
618	933	574
619	934	572
620	935	571
621	936	569
622	938	567
623	939	565
624	940	564
625	941	562
626	942	560
627	943	558
628	944	556
629	945	555
630	946	553
631	947	551
632	948	550
633	949	548
634	950	546
635	952	544
636	953	543
637	954	541
638	955	539
639	956	538
640	957	536
641	958	534
642	959	532
643	960	531
644	962	529
645	963	527
646	964	526
647	965	524
648	966	522
649	967	520
650	968	519
651	969	517
652	971	515
653	972	514
654	973	512
655	974	510
656	975	509
657	976	507
658	977	505
659	978	504
660	979	502
661	980	500
662	981	499
663	982	497
664	983	495
665	984	493
666	985	492
667	986	490
668	988	488
669	989	487
670	990	485
671	991	483
672	992	482
673	993	480
674	994	478
675	995	477
676	996	475
677	997	473
678	998	472
679	999	470
680	1000	468
681	1001	467
682	1002	465
683	1004	463
684	1005	462
685	1006	460
686	1007	458
687	1008	457
688	1009	455
689	1010	453
690	1011	452
691	1012	450
692	1013	449
693	1014	447
694	1016	445
695	1017	444
696	1018	442
697	1019	441
698	1020	439
699	1021	437
700	1022	436
701	1023	434
702	1024	433
703	1025	431
704	1027	429
705	1028	428
706	1029	426
707	1030	425
708	1031	423
709	1032	421
710	1033	420
711	1034	418
712	1036	417
713	1037	415
714	1038	413
715	1039	412
716	1040	410
717	1041	409
718	1042	407
719	1043	405
720	1044	404
721	1045	402
722	1046	401
723	1047	399
724	1048	397
725	1049	396
726	1051	394
727	1052	393
728	1053	391
729	1054	389
730	1055	388
731	1056	386
732	1057	385
733	1058	383
734	1059	382
735	1060	380
736	1061	378
737	1062	377
738	1063	375
739	1064	374
740	1065	372
741	1066	370
742	1067	369
743	1069	367
744	1070	366
745	1071	364
746	1072	363
747	1073	361
748	1074	359
749	1075	358
750	1076	356
751	1077	355
752	1078	353
753	1079	352
754	1080	350
755	1082	349
756	1083	347
757	1084	346
758	1085	344
759	1086	343
760	1087	341
761	1088	339
762	1089	338
763	1090	336
764	1091	335
765	1092	333
766	1093	332
767	1095	330
768	1096	329
769	1097	327
770	1098	326
771	1099	324
772	1100	323
773	1101	321
774	1102	320
775	1103	318
776	1104	317
777	1105	315
778	1106	314
779	1107	312
780	1109	310
781	1110	309
782	1111	307
783	1112	306
784	1113	304
785	1114	303
786	1115	301
787	1116	300
788	1117	298
789	1118	297
790	1119	295
791	1120	294
792	1121	292
793	1123	291
794	1124	289
795	1125	288
796	1126	286
797	1127	285
798	1128	283
799	1129	282
800	1130	280
801	1131	279
802	1132	277
803	1133	276
804	1135	274
805	1136	273
806	1137	272
807	1138	270
808	1139	269
809	1140	267
810	1141	266
811	1142	264
812	1144	263
813	1145	261
814	1146	260
815	1147	258
816	1148	257
817	1149	255
818	1150	254
819	1151	252
820	1152	251
821	1153	249
822	1155	248
823	1156	246
824	1157	245
825	1158	244
826	1159	242
827	1160	241
828	1162	239
829	1163	238
830	1164	236
831	1165	235
832	1166	233
833	1167	232
834	1168	230
835	1169	229
836	1171	228
837	1172	226
838	1173	225
839	1174	223
840	1175	222
841	1176	220
842	1177	219
843	1178	217
844	1179	216
845	1180	214
846	1181	213
847	1183	212
848	1184	210
849	1185	209
850	1186	207
851	1187	206
852	1188	204
853	1189	203
854	1190	201
855	1191	200
856	1192	199
857	1193	197
858	1194	196
859	1195	194
860	1196	193
861	1197	191
862	1198	190
863	1199	188
864	1200	187
865	1201	185
866	1202	184
867	1203	183
868	1204	181
869	1205	180
870	1206	178
871	1207	177
872	1208	175
873	1209	174
874	1210	172
875	1211	171
876	1212	170
877	1213	168
878	1214	167
879	1215	165
880	1216	164
881	1217	162
882	1218	161
883	1219	160
884	1220	158
885	1221	157
886	1222	155
887	1223	154
888	1224	152
889	1225	151
890	1226	150
891	1227	148
892	1228	147
893	1229	145
894	1229	144
895	1230	142
896	1231	141
897	1232	140
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1238	131
904	1239	130
905	1240	128
906	1242	127
907	1243	125
908	1244	124
909	1245	123
910	1246	121
911	1247	120
912	1248	119
913	1249	117
914	1250	116
915	1251	114
916	1252	113
917	1253	112
918	1254	110
919	1255	109
920	1256	107
921	1257	106
922	1258	105
923	1259	103
924	1260	102
925	1261	100
926	1262	99
927	1263	98
928	1264	96
929	1265	95
930	1266	93
931	1267	92
932	1268	91
933	1269	89
934	1270	88
935	1271	86
936	1272	85
937	1273	84
938	1274	82
939	1275	81
940	1276	80
941	1277	78
942	1278	77
943	1279	75
944	1280	74
945	1281	73
946	1282	71
947	1283	70
948	1284	69
949	1285	67
950	1286	66
951	1287	64
952	1288	63
953	1289	62
954	1290	60
955	1291	59
956	1292	58
957	1293	56
958	1294	55
959	1295	53
960	1297	52
961	1298	51
962	1299	49
963	1300	48
964	1301	47
965	1302	45
966	1303	44
967	1304	43
968	1305	41
969	1306	40
970	1307	39
971	1308	37
972	1309	36
973	1310	34
974	1311	33
975	1312	32
976	1313	30
977	1314	29
978	1315	28
979	1315	26
980	1316	25
981	1317	24
982	1318	22
983	1319	21
984	1320	20
985	1321	18
986	1322	17
987	1323	16
988	1324	14
989	1325	13
990	1326	12
991	1327	10
992	1328	9
993	1329	8
994	1330	6
995	1331	5
996	1332	4
997	1333	2
998	1334	1
999	1335	0
